unnamed_0,year,prize,motivation,laureate_id,birth_city,birth_country,organization_name,organization_city,organization_country,death_city,death_country,usa_born_winner,decade,female,age,category_Chemistry,category_Economics,category_Literature,category_Medicine,category_Peace,category_Physics,prize_encoded,motivation_encoded,prize_share_1/1,prize_share_1/2,prize_share_1/3,prize_share_1/4,laureate_type_Individual,laureate_type_Organization,birth_city_encoded,birth_country_encoded,sex_Male,organization_name_encoded,organization_city_encoded,organization_country_encoded,death_city_encoded,death_country_encoded,age_group_Adult,age_group_Senior,age_group_Youth
-0.40306804876786767,-0.18896969320472584,The Nobel Peace Prize 1963,"""for development of methods to cool and trap atoms with laser light""",523,"New York, NY",United States of America,University of California,"Cambridge, MA",United States of America,Paris,United States of America,False,-0.14245294181630286,False,0.04275364453658232,0,0,0,0,1,0,46,21,0,1,0,0,0,1,362,115,1,223,35,28,197,46,0,1,0
-0.39926552000590665,-0.18896969320472584,The Nobel Prize in Physics 1963,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""",78,Budapest,Austria-Hungary (Hungary),Princeton University,"Princeton, NJ",United States of America,"Princeton, NJ",United States of America,False,-0.14245294181630286,False,0.12492362380414859,0,0,0,0,0,1,370,89,0,1,0,0,1,0,77,7,1,169,131,28,210,46,1,0,0
-0.3954629912439456,-0.18896969320472584,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure""",79,Kattowitz (Katowice),Germany (Poland),University of California,"San Diego, CA",United States of America,"San Diego, CA",United States of America,False,-0.14245294181630286,True,-0.2037562932661165,0,0,0,0,0,1,370,393,0,0,0,1,1,0,248,45,0,223,143,28,226,46,1,0,0
-0.3916604624819846,-0.18896969320472584,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure""",80,Hamburg,Germany,University of Heidelberg,Heidelberg,Federal Republic of Germany,Heidelberg,West Germany (Germany),False,-0.14245294181630286,False,-0.28592627253368275,0,0,0,0,0,1,370,393,0,0,0,1,1,0,201,43,1,237,69,9,106,48,1,0,0
-0.3878579337200236,-0.15850042054817648,The Nobel Prize in Chemistry 1964,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",230,Cairo,Egypt,"University of Oxford, Royal Society",Oxford,United Kingdom,Shipston-on-Stour,United Kingdom,False,-0.14245294181630286,True,-0.4502662310688153,1,0,0,0,0,0,152,47,1,0,0,0,1,0,83,36,0,251,123,27,235,45,1,0,0
-0.38405540495806256,-0.15850042054817648,The Nobel Prize in Literature 1964,"""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""",637,Paris,France,University of California,"Cambridge, MA",United States of America,Paris,France,False,-0.14245294181630286,False,-0.03941633473098395,0,0,1,0,0,0,261,274,1,0,0,0,1,0,396,39,1,223,35,28,197,12,1,0,0
-0.38025287619610154,-0.15850042054817648,The Nobel Prize in Physiology or Medicine 1964,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",378,Neisse (Nysa),Germany (Poland),Harvard University,"Cambridge, MA",United States of America,"Burlington, MA",United States of America,False,-0.14245294181630286,False,-0.6146061896039479,0,0,0,1,0,0,478,406,0,1,0,0,1,0,353,45,1,68,35,28,49,46,1,0,0
-0.3764503474341406,-0.15850042054817648,The Nobel Prize in Physiology or Medicine 1964,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",379,Munich,Germany,Max-Planck-Institut für Zellchemie,Munich,Federal Republic of Germany,Munich,Germany,False,-0.14245294181630286,False,-0.5324362103363816,0,0,0,1,0,0,478,406,0,1,0,0,1,0,344,43,1,141,107,9,169,14,1,0,0
-0.37264781867217955,-0.15850042054817648,The Nobel Peace Prize 1964,"""for development of methods to cool and trap atoms with laser light""",524,"Atlanta, GA",United States of America,University of California,"Cambridge, MA",United States of America,"Memphis, TN",United States of America,True,-0.14245294181630286,False,-2.0114958371525744,0,0,0,0,1,0,47,21,1,0,0,0,1,0,25,115,1,223,35,28,156,46,1,0,0
-0.36884528991021853,-0.15850042054817648,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",81,"Greenville, SC",United States of America,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,"Berkeley, CA",United States of America,True,-0.14245294181630286,False,-0.8611161274066467,0,0,0,0,0,1,371,29,0,1,0,0,1,0,188,115,1,129,35,28,22,46,1,0,0
-0.3650427611482575,-0.15850042054817648,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",82,Usman,Union of Soviet Socialist Republics (Russia),P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,Moscow,Russia,False,-0.14245294181630286,False,-1.4363059822796105,0,0,0,0,0,1,371,29,0,0,0,1,1,0,539,113,1,165,105,26,166,36,1,0,0
-0.3612402323862965,-0.15850042054817648,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",83,Atherton,Australia,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,Moscow,Russia,False,-0.14245294181630286,False,-0.943286106674213,0,0,0,0,0,1,371,29,0,0,0,1,1,0,24,1,1,165,105,26,166,36,1,0,0
-0.35743770362433547,-0.12803114789162715,The Nobel Prize in Chemistry 1965,"""for his outstanding achievements in the art of organic synthesis""",231,"Boston, MA",United States of America,Harvard University,"Cambridge, MA",United States of America,"Cambridge, MA",United States of America,True,-0.14245294181630286,False,-0.943286106674213,1,0,0,0,0,0,153,208,1,0,0,0,1,0,61,115,1,68,35,28,54,46,1,0,0
-0.35363517486237445,-0.12803114789162715,The Nobel Prize in Literature 1965,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people""",638,Veshenskaya,Russia,University of California,"Cambridge, MA",United States of America,Veshenskaya,Union of Soviet Socialist Republics,False,-0.14245294181630286,False,0.04275364453658232,0,0,1,0,0,0,262,297,1,0,0,0,1,0,542,89,1,223,35,28,265,43,1,0,0
-0.3498326461004134,-0.12803114789162715,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",380,Nancy,France,Institut Pasteur,Paris,France,Paris,France,False,-0.14245294181630286,False,-1.1897960444769118,0,0,0,1,0,0,479,384,0,0,1,0,1,0,350,39,1,82,124,11,197,12,1,0,0
-0.3460301173384524,-0.12803114789162715,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",381,Ainay-le-Château,France,Institut Pasteur,Paris,France,Paris,France,False,-0.14245294181630286,False,0.2892635823392811,0,0,0,1,0,0,479,384,0,0,1,0,1,0,8,39,1,82,124,11,197,12,1,0,0
